image_idx,cataract,diabetic_retinopathy,glaucoma,normal,retina_disease,real_label
0,0.9049288,0.025224019,0.006767231,0.06305067,2.938683e-05,0
1,0.98337305,0.00026474264,0.008113856,0.0029680657,0.005280302,0
2,0.9999585,4.783411e-07,3.5584926e-05,4.2802612e-06,1.1404543e-06,0
3,0.99988973,1.0072867e-09,0.000107408196,2.7862602e-06,5.450516e-11,0
4,0.9992529,4.4981185e-08,0.0006032828,0.00014379164,4.337315e-09,0
5,0.99980056,1.4617542e-09,0.00019870372,7.227866e-07,3.14415e-10,0
6,0.9994415,2.415996e-08,0.0005443683,1.4058562e-05,4.069937e-10,0
7,0.9379284,0.0016959475,0.026451161,0.03392322,1.3275139e-06,0
8,0.48382002,0.5075636,7.5787866e-05,0.008533922,6.723722e-06,0
9,0.999767,3.8237725e-11,0.00023217569,8.0361576e-07,4.8001497e-10,0
10,0.99176806,5.6794786e-05,0.0006782122,0.0008739311,0.0066229664,0
11,0.99957466,6.0387515e-07,0.00037427805,3.620593e-05,1.4252057e-05,0
12,0.79070956,3.6656918e-09,0.20927092,1.9518653e-05,3.1472265e-08,0
13,0.99978286,7.665343e-12,0.00021710421,2.5378432e-08,2.3300706e-12,0
14,0.941675,6.942426e-05,0.0009327891,0.05732254,1.6625869e-07,0
15,0.9939861,3.9688607e-11,0.006012921,9.766552e-07,2.7194996e-10,0
16,0.99650395,0.00034650552,0.0009366626,0.002212902,2.2282498e-09,0
17,0.99075615,1.6844711e-05,0.00012029243,0.009106809,2.1371114e-09,0
18,0.98646814,0.009942317,0.0021866017,0.00040033803,0.0010025868,0
19,0.82596076,0.0141652925,0.04683006,0.11269824,0.00034575566,0
20,0.94911736,0.050542742,3.0429015e-05,0.00030883975,6.521546e-07,0
21,0.9995562,8.214173e-06,6.171034e-05,0.00037395256,4.2127433e-11,0
22,0.99903774,7.1897945e-09,0.00095971394,2.5300264e-06,4.75884e-10,0
23,0.99991524,1.4457399e-08,8.376543e-05,8.419861e-08,8.966296e-07,0
24,0.8872465,7.492629e-05,0.042968445,0.06971001,2.0455633e-09,0
25,0.9991704,1.8102828e-10,0.0008295119,1.0875615e-07,2.3231457e-10,0
26,0.9992255,2.112876e-09,0.00077150774,2.9629714e-06,1.0088478e-09,0
27,0.99654514,0.00060219533,0.0011171191,0.0015548468,0.00018072873,0
28,0.9999358,1.2422245e-07,6.220843e-05,7.0065374e-07,1.1517516e-06,0
29,0.99894476,7.5986755e-08,0.0010505327,1.9964568e-06,2.630709e-06,0
30,0.9999673,4.1989678e-10,3.254321e-05,1.8772926e-07,2.5306457e-11,0
31,0.9989098,4.7394266e-11,0.0010899026,3.109733e-07,1.1274744e-10,0
32,0.9930501,0.0004971145,0.0027673333,0.00020392475,0.00348149,0
33,0.9853182,1.0514063e-06,0.012155238,0.0025251277,3.4006854e-07,0
34,0.99897987,3.345752e-11,0.0010200121,1.237677e-07,1.822601e-10,0
35,0.99840057,3.2800086e-05,0.00010862427,0.001457968,1.9758588e-09,0
36,0.9998976,2.7955775e-08,0.00010016204,7.904422e-07,1.3903782e-06,0
37,0.99984396,2.4966434e-10,0.000155672,3.4508966e-07,2.7090863e-11,0
38,0.99957526,1.8257534e-11,0.0004247788,1.7359227e-08,5.322727e-10,0
